sitename,uvi,publishagency,county,wgs84lon,wgs84lat,publishtime
塔塔加,2,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 14:00"
玉山,6.06,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 14:00"
阿里山,1,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 14:00"
新竹,2.82,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 14:00"
臺南,4.61,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 14:00"
高雄,5.27,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 14:00"
基隆,2.14,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 14:00"
臺中,3.67,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 14:00"
成功,2.48,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 14:00"
南投,5,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 14:00"
彰化,5,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 14:00"
臺北,1.10,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 14:00"
新屋,2.50,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 14:00"
橋頭,4,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 14:00"
鞍部,1.29,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 14:00"
嘉義,0.65,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 14:00"
臺東,4.99,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 14:00"
阿里山,4,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 13:00"
臺北,2.00,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-24 13:00"
花蓮,2.44,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-24 13:00"
嘉義,4.73,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 13:00"
玉山,6.67,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-24 13:00"
成功,4.12,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 13:00"
